Text,Ham,Spam
"I'm in a meeting, call me later at evening",1,0
Your account has been refilled successfully by INR 100.00; . Your KeralaCircle prepaid account balance is Rs.101.00 ; . Your Transaction ID is KR 3567 .,1,0
Solicita tu tarjeta y adelanta la pension Mas informacion y ventajas aqui http //ubco.ly /312PlmS SMS NO+PUBLI al XXXXXXXXX,0,1
Enjoy 5GB valid till your current pack and Wynk Premium subscription for 30 days. Claim here: open.wynk.in/RC98Claim here: open.wynk.in/HTLapu,0,1
Tras las últimas cuentas anuales de XXXX hemos determinado que tienes derecho a la devolución XX,0,1
<Forwarded from 88877>FREE entry into our £250 weekly comp just send the word ENTER to 88877 NOW. 18 T&C www.textcomp.com,0,1
Property Buyer/Seller Agents/Dealers Advertise Free   New Launch & More on Landkhoj.com,0,1
"BBVA Para realizar tu operacion utiliza el codigode 44,97 EUR realizado con tu tarjeta",0,1
That is wondarfull song,1,0
No that just means you have a fat head,1,0
"St andre, virgil's cream",1,0
A total profit of 7% on CAPACITE is still very impressive,1,0
	Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468,0,1
Service XXXXX Merci de votre aide Pour compléter votre signalement renvoyez par SMS au33700 le numéro qui vous a adressé ce message indésirable gratuit Service XXXXX La procédure de signalement est terminée Merci de votre coopération qui va nous permettre de lutter plus efficacement contre le spam,0,1
Shakthi Vishnu as well,1,0
CTM 's X Day Sale be now on Visit a CTM store http //bit.ly/3h7rilV or shop online for BIG saving valid 24-27Feb STOP=OPTOUTCTM Brands Promo be now on Shop exclusive Kilimanjaro and Origins Tiles until X June at CTM online or instore www.ctm.co.za/ sale .STOP=OPTOUT,0,1
Get in touch with IT team,1,0
Dear customer your Electricty power will be disconnect Tonight at 9:30 from electricty officer your previous month bill be not update Please immedately contact with electricty officer XXXXXXXXXX Thanks,0,1
True dear..i sat to pray evening and felt so.so i sms'd you in some time...,1,0
Ameli Votre nouvelle carte vitale est disponible faites votre demande via http //renouv-carte-vital.com,0,1
OCBC Be alert to scam Logging in to Online Banking The One-Time Password do NOT share with anyone be XXXXXX This OTP expire at 08:42 SG Time,0,1
AddressPal update UK delivery be change from January 1st XXXX Check your email inc. junk for detail on how to get your account ready.for delivery on the next working day Alternative delivery,0,1
Dear user your SBI YONO Account will be block today.Please click below link update your PAN CARD Number Thank you SBI http //cutt.ly/ fAINZ95,0,1
RMO K-KOMM Jom sertai Program `` Berjalan Teguh Bersama '' XX Julai XXXX Sabtu di Dataran Putra Masjid Putra Putrajaya pendaftaran seawal 6.30 pagi,0,1
Appuyez pour accéder à votre compte Instagram http //ig.me/1Ft4QMIUuVEx8xk,0,1
ME 2 BABE I FEEL THE SAME LETS JUST 4GET ABOUT IT+BOTH TRY +CHEER UP+NOT FIT SOO MUCHXXLOVE U LOCAXX,1,0
Good morning check inÃ°ÂÂÂ,1,0
Remately,1,0
Bulk SMS Marketing WhatsApp Promotion API SMS XXX Delivery Voice call,0,1
I'm gonna be home soon and i don't want to talk to u anymore tonight.. I've cried enough today.,1,0
"Actually, my mobile is full of msg. And i m doing a work online, where i need to send them  &lt;#&gt;  sent msg i wil explain u later.",1,0
"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625",0,1
Life is Art is Life  Chivas Studio  is back! Do you know what it is? Is it a  1) Fashion Show 2) Chat Show 3) Music Fest. 4) Art Exhibition ^1/2/3/4 Reply Within 24hrs to know about this amazing collaborative concept.,0,1
"`` Millennium-bcp-Cliente '' Acesso suspenso por seguranca ative em www.tinyurl.com/59r8tyn6 multa 74,22 euro 21:57 t",0,1
Hahaha..use your brain dear..that will work here�,1,0
Pls look in to it ASAP,1,0
CHEERS U TEX MECAUSE U WEREBORED! YEAH OKDEN HUNNY R UIN WK SAT?SOUNDS LIKEYOUR HAVIN GR8FUN J! KEEP UPDAT COUNTINLOTS OF LOVEME XXXXX.,1,0
Sa ating pagkakaisa at pagmamahal sa ating bansa sama-sama tayong babangon muli Please SHARE para makita po ng ma marami Maraming salamat po,0,1
No one interested. May be some business plan.,1,0
Hi dis is yijue i would be happy to work wif ü all for gek1510...,1,0
CM postbank Sie haben X eine neue,0,1
	http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=true¡C C Ringtone¡,0,1
X-Effects! Cool special effects and make-up in the new film  'XMen: First Class'! Choose a mutant character to see what they look like  after they transform: 1) Mystique 2) Beast 3) Azazel 4) Emma Frost ^1/2/3/4 Reply within 24 hours to get a photo. ,0,1
"DRUM ROLLS! Announcing Shoppers Stop Exclusive Brand Fest from 2-8 Sept only on shoppersstop.com Click bit.ly/SS_HsH & get Upto 60% OFF on Homeware by IVY, FERN, TREASURES, BACK TO EARTH & more Also get EXTRA 10% OFF on shopping of Rs.2500. T&C apply",0,1
"Goodmorning, Today i am late for 5min.",1,0
""" In the domestic market, after a day of significant volatility, stocks closed flat on Monday, August 12. The Sensex and Nifty ended with slight declines, while mid-cap and small-cap stocks performed strongly. The market opened lower in the morning but later rebounded slightly, although overall sentiment remained bearish. By the close, the Nifty fell by 20 points to 24,347 points, and the Sensex dropped by 56 points to 79,648 points. The Nifty Bank gained 93 points, closing at 50,577 points. The biggest losers today included NTPC, Adani Ports and Special Economic Zone, Dr. Reddy's Laboratories, and Britannia Industries.""",1,0
URGENT! Your Mobile number has been awarded a <UKP>2000 prize GUARANTEED. Call 09061790125 from landline. Claim 3030. Valid 12hrs only 150ppm,0,1
¡Hola Soy Alex Char JUNTOS un PAIS DE http //,0,1
Rs. 15000/ se Rs. 30000/ income kar sakte hain har Mahine Aap HI-TECH se MOBILE/LAPTOP Repairing ka Course Karke. Puri Jankari ke Liye Call kare 9212-744-744,0,1
"Evening * v good if somewhat event laden. Will fill you in, don't you worry … Head * ok but throat * wrecked. See you at six then!",1,0
""" There are several requirements that need to be met to turn pure technical analysis into money. The first and most important is to determine when a trend begins or ends. The key to making money is to catch the trend as soon as possible. While this may seem easy in theory, making money consistently requires more work, skill and experience.""",1,0
"This be an example of how hacker can steal your credential include OTP.A charge of 1,200 be make to your GRAB PAY account If unauthorised visit grab-pay auth.com now",0,1
What happened to our yo date?,1,0
""" Good afternoon, investors. The market has closed, so let's do a brief summary.""",1,0
Your package be on get it as soon as possi http //ferdiyogi.fr/b/nv pGA.Ey 2SH-Lkm,0,1
Estimado cliente A partir del 28/08/2022 no podra utilizar su cuenta Hasta que actualice el nuevo sistema de seguridad http //liceoyobilo.cl/ess/sistema/home/ 19:20,0,1
How are you holding up?,1,0
ORANGE INFO Uw huidige vorm van identificatie be niet meer geldig Wij zijn genoodzaakt u te vragen uw zich opnieuw te identificeren via hulp-orange.info/identify,0,1
nglishvocabulary ululate: to mourn loudly and shrilly AD: Unlimited FREE calls to any mobile try out today http://bit.ly/unlmtdfreecall share wid frnd ,0,1
Or remind me in a few hrs.,1,0
RMO MTD Tiap kali Ramadan asyik tertangguh je nak khatam Quran sampai habis Kali ni tidak sbb ada Mega Tadarus Digital Klik utk sertai skrg ezy.la/ mtdsmsberpeluang utk kumpul pahala di bulan Ramadan Bagaimana dgn arwah di sana Hulurkanlah pahala sedekah doa buat mereka ezy.la/tahlil01,0,1
Ha! I wouldn't say that I just didn't read anything into way u seemed. I don't like 2 be judgemental....i save that for fridays in the pub!,1,0
"The E2E I bought at the opening has now gone up, thanks Ã°ÂÂÂ",1,0
Dont talk to him ever ok its my word.,1,0
get monthly XXX Mbps 599/- or XX Mbps 499/ visitget monthly XXX Mbps 599/- or XX Mbps 499/ visit www.hathway.com,0,1
be in close proximity with somebody who isPlease immediately get a testkit now through,0,1
I'm very happy for you babe ! Woo hoo party on dude!,1,0
*deep sigh* ... I miss you :-( ... I am really surprised you haven't gone to the net cafe yet to get to me ... Don't you miss me?,1,0
Am watching house – very entertaining – am getting the whole hugh laurie thing – even with the stick – indeed especially with the stick.,1,0
Butuh dana cepat untuk kebutuhan finansialmu UCan Ajukan pinjaman digital dengan bunga bersaing mulai dari 2.95 http //im3.do/UCan CS:021-30055300 DSI,0,1
DPD UK Your delivery could not be schedule due to one or more issue You can view more information regard your order by visit MyDpd.link,0,1
CONGRATULATIONS! FREE 2GB data is yours! Claim on Airtel Thanks App Now. Hurry i.airtel.in/e/csl_ml_2GB,0,1
Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp £1.50/msg,0,1
But i'm really really broke oh. No amount is too small even  &lt;#&gt; ,1,0
Ledgersupport Due to an update you need to unlock your wallet Please visit http //m.ver ledgerauth.liveWe be sorry for the incovenience Thank you,0,1
PRIVATE! Your 2003 Account Statement for 078,0,1
today Attempt code XXXX Visit http //tracker .shadowfax.in,0,1
You be eligible for the government fund £400.00 energy bill rebate To complete your application visit,0,1
Apply now and get Navi personal loan up to Rs.2000000/- Completelypaperless process and disbursal within minute Click Here rqtm.in/z5/a7q BVS,0,1
Yes it needs to fill the gap,1,0
"Bill, as in: Are there any letters for me. iÛªm expecting one from orange that isnÛªt a bill but may still say orange on it.",1,0
"Yup, leaving right now, be back soon",1,0
Nimbus Present Express Park-view 2/3BHK LUXRS FLATS@15.51 onwds *prpsd Metro stn *F1 Racing*Opp 5 StarHotel TajExp way*Gr.Noida SMS EP to 57333/9560184440 ,0,1
If u sending her home first it's ok lor. I'm not ready yet.,1,0
???????????,1,0
This pen thing is beyond a joke. Wont a Biro do? Don't do a masters as can't do this ever again!,1,0
DOMINOS PIZZA XX OFF E na Semana da Pizza QUALQUER sabor pela metade do preco vem http //bit.ly/3lmyjMA,0,1
Up to ü... Ü wan come then come lor... But i din c any stripes skirt...,1,0
Binance A withdrawal have be request from an unknown IP address If this be not you follow the step here www.cancel93028binanc.com,0,1
"Rs299 recharged! Enjoy Unlimited Calls+4GB/Day+100SMS/Day. Valid for 28 Days. Your Vi-exclusive Night & Weekend Data benefits activated, click bit.ly/Vi-WDR",0,1
"A few people are at the game, I'm at the mall with iouri and kaila",1,0
I'll talk to the others and probably just come early tomorrow then,1,0
disconnect at 9:30pm as your last month bill be n't update Call us immediately XXXXXXXXXX,0,1
NIGHT DHAMAKA!Ab Aircel laya hai apke liye poore 50 Loc A2A Night Mins sirf Rs3 mein.To intezar kis bat ka?Turant Dial karein *122*552# or labh uthaen.Vdty 1Day ,0,1
get monthly XXX Mbps 599/- or XX Mbps 499/ visit www.hathway.comget monthly XXX Mbps 599/- or XX Mbps 499/ visit,0,1
FAZIL 8.000 para tu primera compra en Fazil codigo S17TTR Monto min 19.990.Valido al 01/05.Pide http //bit.ly/3onLpRQ No+SMS enviar FZ-SALIR al XXXXXXXXXXX,0,1
HARD BUT TRUE: How much you show &amp;  express your love to someone....that much it will hurt when they leave you or you get seperated...!ö´Ó_??Û¬ud evening...,1,0
Ok no prob. Take ur time.,1,0
Don't miss out on up to 1 Gbps speed & uninterrupted streaming. Switch to Airtel Xstream Fiber and get FREE router. T&C. Click u.airtel.in/unlimiteddata11,0,1
Lol I would but despite these cramps I like being a girl.,1,0
Enter your Internet Banking User Name and Password or Temporary User Name and Password to Proceed,0,1
Does this also happens if the laptop is hot,1,0
Nope... C Ì_ then...,1,0
"The last thing i ever wanted to do was hurt you. And i didn't think it would have. You'd laugh, be embarassed, delete the tag and keep going. But as far as i knew, it wasn't even up. The fact that you even felt like i would do it to hurt you shows you really don't know me at all. It was messy wednesday, but it wasn't bad. The problem i have with it is you HAVE the time to clean it, but you choose not to. You skype, you take pictures, you sleep, you want to go out. I don't mind a few things here and there, but when you don't make the bed, when you throw laundry on top of it, when i can't have a friend in the house because i'm embarassed that there's underwear and bras strewn on the bed, pillows on the floor, that's something else. You used to be good about at least making the bed.",1,0
Fine i miss you very much.,1,0
"You are missing it! Claim your Vi Movies & TV Classic membership & get Pattabhiraman, Oru Adaar Love, Ligue1 football matches on Vh1 &more!Click bit.ly/Vi-mv34",0,1
Tell me pa. How is pain de.,1,0
Hi Kk,1,0
Rs.250 credited as FREE UNLIMITED Cash Points in your account to shop at UNLIMITED Fashion Store. Valid till 25th July 2021. TnC,0,1
CVS WEEKENDWINNER available credit XXX Start Shopping TODAY http :http //vgredwoodre.me/,0,1
@282.75 purchase 200 shares,1,0
Ok not a problem will get them a taxi. C ing  tomorrow and tuesday. On tuesday think we r all going to the cinema. ,1,0
"2/2 Roaming calls, 1.5GB/day data and 100 SMS. Pack valid for 84 days. UNLIMITED 5G data over & above your plan limit, claim on Airtel Thanks App.",0,1
This stock has the potential to make a significant profit,1,0
U meet other fren dun wan meet me ah... Muz b a guy rite...,1,0
"I'm in solihull, | do you want anything?",1,0
"GOD ASKED, \What is forgiveness?\"" A little child gave lovely reply",1,0
Laptop is restarting,1,0
Roti Kapda aur Eco Village Noida Extn*1BHK10.4Lacs al inclusve*2BHK14.5Lacs al inclusve*8min 4m Fortis/metro statn*Possesn20mths*Max disc Sms SHOME To 567670,0,1
Centerfresh Actisport Complete the sentence after viewing the attached advertisement.  'Chahe koi mujhe ________ kahe  kehne do ji kehta rahe' 1) Junglee 2) Pagal  3) Deewana ^ 1/ 2/ 3 All replies are FREE  ,0,1
Hi happy birthday. Hi hi hi hi hi hi hi,1,0
Now Order & Pay for Dominos Pizza using Mobile App. Goto www.ngpay.com/dominoswap to download app. & Get 25% Off   Min bill Rs.300.Coupon:AL25A.Vld:30Apr.T&C ,0,1
Only if you promise your getting out as SOON as you can. And you'll text me in the morning to let me know you made it in ok.,1,0
 and  picking them up from various points,1,0
Are you at work right now ?,1,0
Call me when u're done...,1,0
I don know account details..i will ask my mom and send you.my mom is out of reach now.,1,0
Is toshiba portege m100 gd?,1,0
"Good afternoon, my love. It was good to see your words on YM and get your tm. Very smart move, my slave ... *smiles* ... I drink my coffee and await you.",1,0
I know you mood off today,1,0
Y,1,0
It has issues right now. Ill fix for her by tomorrow.,1,0
Ronnie falgout,1,0
If you are not coughing then its nothing,1,0
Dear Customer Your SBI yono Account will be block please Updated Your PAN Card Number Click here link http //sam05 .000webhostapp.com/,0,1
Sure but since my parents will be working on Tuesday I don't really need a cover story,1,0
"Found it, ENC  5000 , where you at?",1,0
Le informamos que ha recibido X un documento importante por este motivo se precisa un momento de atencion Accede a su cuenta online en sitio http //bit.ly/3tBB4UZ,0,1
Happy new year. Hope you are having a good semester,1,0
"Su paquete ES73 34B esta listo pague los costos de envio €2,99 para que se le entregue 07/02/2022 Encontrara ma datos aqui t.co/L5no6kiThw",0,1
"We can only wait for the market to change; there's not much else we can do. If the major funds push up our stocks, that would be perfect",1,0
I'm vivek:)i got call from your number.,1,0
A casual attitude towards safety lead to Casualty Wear a full-face ISI certify helmet for your own safety For more Information on visitBengaluru Traffic Police Always with you,0,1
HT MEDIA LTD have request payment of INR 999.00 You can pay through this link http //rzp.io/i/zdWxDqM9I,0,1
Stupid auto correct on my phone,1,0
Still at west coast... Haiz... Ü'll take forever to come back...,1,0
Good evening sir,1,0
One small prestige problem now.,1,0
Dear Consumer Your Electricity power will be disconnect Tonight at 9:30 pm from electricity office because your previous month bill be not update please immediately contact our electricity officer XXXXXXXXXX Thank you,0,1
Blocked Update your Document Now visit SBI website http //The sender be not in your contact list Report Message,0,1
Your Electricity power will be disconnect Tonight at 9.30 pm from electricity office because your previous month bill be not update Please immediately contact with our electricity-officer XXXXXXXXXX Thank you,0,1
Yeah right! I'll bring my tape measure fri!,1,0
SpareBnk1 det er siste sjanse du trenger å aktivereengangskodeappen for kontoen din klikk på lenken http //t.co/ n062XbpD2L,0,1
Dear Customer we try reach you to provide excite offer for your Hathway AC XXXXXXXXXX please call XXXXXXXXXX offer valid for today only TC.Dear Customer we try reach you to provide excite offer for your Hathway AC XXXXXXXXXX please call XXXXXXXXXX offer valid for today only TC,0,1
What kind of a person are you? 1) I love telling stories 2) I'm a perfectionist 3) I'd rather stay home with a good book than party ^1/ 2/ 3 ,0,1
NHS-UK Test Trace notice you be in contact with somebody who have test positive for COVID-19 Please order a PCR test kit via http // mypcr-kit.web.app,0,1
No dear i do have free messages without any recharge. Hi hi hi,1,0
US post Your package be on hold due toan address problem please fill in the correct,0,1
La sua certificazione verde Covid-19 risulta essere clonata per evitare il blocco,0,1
Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 86.,0,1
I was about to do it when i texted. I finished a long time ago and showered and er'ything!,1,0
Dear HDFC user your HDFC NetBanking Account will beblocked today.Please click on the link and update your PAN CARD Number immediately,0,1
Dear SBI user your SBI YONO Account will beblocked today Please click here link to update your PAN CARD Number Thank you SBI http //cutt.ly/,0,1
Santander por favor introduzca la clave para completar elregistro en Apple Pay con su tarjeta terminada enSu tarjeta Santander terminada en tiene un estado actual deHemos recibido un cargo inusual con importe 73.38 EUR por parte de Maroc Telecom si no reconoce el cargo proceda a anularlo http // recibos-santander.app,0,1
Do you hide anythiing or keeping distance from me,1,0
So will the stock market be red or green tomorrow?,1,0
How much it will cost approx . Per month.,1,0
Am on the uworld site. Am i buying the qbank only or am i buying it with the self assessment also?,1,0
Watch the India vs Zim series LIVE on Airtel Xstream Play. Claim now open.airtelxstream.in/India_T20_Match,0,1
100=100 ! Get flat Rs100 cashback on Vi. Recharge for min Rs100 on PhonePe app paying via UPI Click https://phon.pe/vikr,0,1
Join to teams meeting,1,0
service put on hold please call customer service no7029195535 immediately your service will be close 24hrs,0,1
Dear SBI user your SBI YONO Account will be block today Please click here on the link to update your PAN CARD detail Thank you,0,1
Issue Resolved Hope the issue with your Flipkart order of SanDisk A1 XXX GB Micr ... be resolve Manage issue and share feedback http //fkrt.it/Rnu WMNNNN,0,1
Ihre VR-SecureGo Registrierung läuft be 05.03.2022 ab Bitte verlängern Sie Ihren Zugang mit dem folgendem link http //volksbank.de-vbsecurity130,0,1
Free Msg Your bill be pay for March Thanks here 's a little gift for you X,0,1
"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...",1,0
Unfortunately i've just found out that we have to pick my sister up from the airport that evening so don't think i'll be going out at all. We should try to go out one of th,1,0
"hey, looks like I was wrong and one of the kappa guys numbers is still on my phone, if you want I can text him and see if he's around",1,0
I attended but nothing is there.,1,0
From next month get upto 50% More Calls 4 Ur standard network charge 2 activate Call 9061100010 C Wire3.net 1st4Terms PoBox84 M26 3UZ Cost £1.50 min MobcudB more,0,1
Both :) i shoot big loads so get ready!,1,0
Su hijo Alberto ha faltado a clase de Musica activa y movimiento el dia 08/03/21 de 13:35 14:30 en el IES San Isidro Tlf XXXXXXXXX Su hijo Alberto ha faltado a clase de Fisica y Quimica el dia 08/03/21 de 11:45 12:40 en el IES San Isidro Tlf XXXXXXXXX,0,1
To stop receiving message reply STOP For help reply HELP.Hi it 's Virgin Media here we have be try to contact you regard the complaint you raise online As we have n't reach you please call us on XXX from your Virgin Media landline or XXXX XXX XXXX from any other number Your call will be prioritise to our specialist resolve team.To stop receiving message reply STOP For help reply HELP,0,1
Well done and ! luv ya all ,1,0
Bonjour pour le suivi de votre isolement n'oubliez pa de répondre au questionnaire CoviContact sur http // www.covidom.fr/suivi-patient/ Account/Login clinic=001 vous avez de problèmes de santé contactez votre médecin traitant En ca d'urgence contactez le XX L'Agence Régionale de santé d'lle-de FranceBonjour pour le suivi de votre isolement n'oubliez pa de répondre au questionnaire CoviContact sur http // www.covidom.fr/suivi-patient/Account/Login clinic=001 vous avez de problèmes de santé contactez votre médecin traitant En ca d'urgence contactez le XX L'Agence Régionale de santé d'lle-de France,0,1
This be an update relate to DND SR No SR0000186LAE raise for your Jio number 701content of report SMS be service/transactional in nature.Hence no action can be take against the reported SMS sender ID Thank you Team Jio,0,1
Wait.i will come out.. &lt;#&gt;  min:),1,0
